channel_name,channel_url,subscribers,videos
NDTV India,https://www.youtube.com/user/ndtvindia,4.05M subscribers,"20,531"
Oggy Hindi - हिन्दी,https://www.youtube.com/channel/UC9TgvYNUsMBPl6J2xbL-4qg,1.96M subscribers,76
Dilli Aajtak,https://www.youtube.com/user/DilliAajtak,749K subscribers,"41,521"
Rajya Sabha TV,https://www.youtube.com/user/rajyasabhatv,3.83M subscribers,"46,181"
Fit Tuber Hindi,https://www.youtube.com/channel/UCDWVNwQce16D16tPc5NBYlQ,291K subscribers,16
All Hindi Me Help,https://www.youtube.com/channel/UC7XWRd6eLbsYhIsOPnFAoPw,171K subscribers,566
Examrace Hindi,https://www.youtube.com/channel/UCcf_EXS7fL65LmIlzEUu-HA,144K subscribers,655
Aaj Tak,https://www.youtube.com/user/aajtaktv,24M subscribers,"96,245"
Stock Hindi,https://www.youtube.com/channel/UCauVWspqMYKVIQwb2JiC0pw,138K subscribers,590
anmol hindi,https://www.youtube.com/channel/UCiPTBltl52aysQE9IqoL__w,934K subscribers,376
Sadhguru Hindi,https://www.youtube.com/user/SadhguruAnandLahar,2M subscribers,586
Hindi Fairy Tales,https://www.youtube.com/channel/UCsyoNsqE37tZIkuvqVPTa7g,5.92M subscribers,224
edureka! Hindi,https://www.youtube.com/channel/UCywyZ4r4FTKExrPl9rf-ggw,73.2K subscribers,42
Mysterious World Hindi,https://www.youtube.com/channel/UCAY4f3wvaQOHc7-WSRrxdHw,2.24M subscribers,114
MotorBeam Hindi,https://www.youtube.com/channel/UC0VkiYFJ-_ZAGdu8YmqR3pg,55.3K subscribers,94
ABP NEWS,https://www.youtube.com/user/abpnewstv,17.6M subscribers,"134,870"
Romantic Hindi Songs,https://www.youtube.com/channel/UCACJFdrWJJQzgqnzXLMVm7w,533K subscribers,277
Infobells - Hindi,https://www.youtube.com/user/infobellshindirhymes,18.5M subscribers,294
The Daltons Hindi - हिन्दी,https://www.youtube.com/channel/UC5l-gHjSSb0aynXqAQSszTw,144K subscribers,25
Hindi Chess Videos,https://www.youtube.com/channel/UC4EcI-Eijs22u1Qpragri9Q,58.3K subscribers,704
